Customer_ID,Name,Age,Gender,Location,Join_Date,Total_Spent
2001,Ivy Davis,33,Male,Chicago,2025-01-09,553.47
2002,Henry Davis,62,Female,Houston,2026-05-05,5390.5
2003,Diana Miller,35,Female,Seattle,2024-03-21,955.07
2004,Paula Smith,64,Male,New York,2025-12-29,8037.36
2005,Laura Johnson,41,Male,Houston,2025-12-12,4567.61
2006,Steve Davis,43,Male,Seattle,2024-10-03,605.48
2007,Ivy Davis,42,Male,Los Angeles,2024-09-19,1387.7
2008,Steve Johnson,62,Male,New York,2026-03-05,4642.73
2009,Henry Williams,58,Female,Denver,2024-03-19,4010.38
2010,Grace Miller,46,Male,Chicago,2026-05-22,829.82
2011,Alice Miller,32,Female,Denver,2025-10-25,1287.66
2012,Oscar Martinez,62,Female,Chicago,2025-04-16,3400.52
2013,Jack Brown,18,Male,New York,2024-10-02,1046.39
2014,Bob Smith,42,Female,Chicago,2025-06-13,1185.16
2015,Rachel Johnson,24,Male,Los Angeles,2024-01-04,608.61
2016,Henry Miller,26,Male,Houston,2024-01-27,1201.82
2017,Victor Johnson,41,Female,Miami,2023-11-30,2840.99
2018,Grace Garcia,18,Male,Phoenix,2025-02-25,300.42
2019,Eva Jones,61,Female,Miami,2025-11-28,6069.73
2020,Alice Davis,25,Male,Los Angeles,2024-02-05,64.9
2021,Rachel Jones,41,Male,Miami,2024-11-19,1869.32
2022,Henry Garcia,28,Female,Chicago,2024-01-28,3186.42
2023,Steve Jones,68,Male,Phoenix,2026-02-23,1900.95
2024,Eva Jones,34,Male,Los Angeles,2024-04-09,737.69
2025,Ivy Jones,25,Male,Miami,2024-07-24,2387.64
2026,Ivy Martinez,52,Female,Phoenix,2024-10-30,2487.99
2027,Charlie Miller,52,Female,New York,2023-12-23,4695.85
2028,Laura Williams,50,Female,Chicago,2023-09-17,4214.28
2029,Steve Miller,22,Male,Los Angeles,2026-03-02,3238.08
2030,Eva Martinez,59,Male,Miami,2024-02-11,5756.07
2031,Oscar Williams,56,Male,Phoenix,2024-07-09,4324.57
2032,Bob Garcia,58,Male,Houston,2025-09-25,2298.0
2033,Mike Martinez,45,Female,Chicago,2024-04-07,623.41
2034,Frank Williams,24,Female,New York,2025-01-06,71.6
2035,Laura Miller,26,Male,Phoenix,2024-09-11,683.8
