Customer_ID,Name,Age,Gender,Location,Churn,Recency,Frequency,Monetary,Avg_Basket,R_score,F_score,M_score,RFM_score,Cluster,Segment,Recommandation
2001,Allison Hill,45,Female,Jacksonville,0,29,26,9757.66,375.29,4,5,5,14,2, VIP / Champions,"Programme VIP, offres exclusives, service premium, early access."
2002,Noah Rhodes,50,Male,San Antonio,0,65,26,10921.86,420.07,3,5,5,13,2, Clients fidèles,"Cross-sell / upsell, programme de parrainage, abonnement."
2003,Angie Henderson,63,Female,New York,0,38,23,7032.84,305.78,4,4,3,11,1, Clients fidèles,"Cross-sell / upsell, programme de parrainage, abonnement."
2004,Daniel Wagner,52,Male,Philadelphia,1,362,3,487.76,162.59,2,1,1,4,0, Perdus,"Email win-back, enquête satisfaction, dernière chance."
2005,Cristian Santos,60,Female,San Jose,0,12,21,9999.42,476.16,5,4,5,14,2, VIP / Champions,"Programme VIP, offres exclusives, service premium, early access."
2006,Connie Lawrence,25,Female,Dallas,1,311,10,2277.79,227.78,2,2,2,6,0, Perdus,"Email win-back, enquête satisfaction, dernière chance."
2007,Abigail Shaffer,38,Female,Jacksonville,1,324,14,1906.8,136.2,2,3,2,7,0, Occasionnels,"Nurturing, contenus, promotions saisonnières."
2008,Gina Moore,30,Female,Austin,0,56,14,5564.58,397.47,3,3,3,9,1, Occasionnels,"Nurturing, contenus, promotions saisonnières."
2009,Gabrielle Davis,29,Female,San Antonio,1,277,10,1370.33,137.03,2,2,2,6,0, Perdus,"Email win-back, enquête satisfaction, dernière chance."
2010,Ryan Munoz,31,Female,San Jose,0,1,13,3747.72,288.29,5,2,3,10,1, Occasionnels,"Nurturing, contenus, promotions saisonnières."
2011,Monica Herrera,46,Male,Dallas,0,32,20,10127.04,506.35,4,4,5,13,1, VIP / Champions,"Programme VIP, offres exclusives, service premium, early access."
2012,Jamie Arnold,68,Male,Austin,1,283,11,2067.94,187.99,2,2,2,6,0, Perdus,"Email win-back, enquête satisfaction, dernière chance."
2013,Lisa Hensley,60,Female,Los Angeles,0,6,33,16416.879999999997,497.48,5,5,5,15,2, VIP / Champions,"Programme VIP, offres exclusives, service premium, early access."
2014,Michele Williams,32,Male,Chicago,1,346,9,1481.25,164.58,2,2,2,6,0, Perdus,"Email win-back, enquête satisfaction, dernière chance."
2015,Dylan Miller,48,Male,San Diego,0,150,26,11075.41,425.98,3,5,5,13,2, Clients fidèles,"Cross-sell / upsell, programme de parrainage, abonnement."
2016,Brian Ramirez,54,Male,Jacksonville,1,505,3,211.95,70.65,2,1,1,4,0, Perdus,"Email win-back, enquête satisfaction, dernière chance."
2017,Holly Wood,33,Male,Austin,0,15,21,8129.099999999999,387.1,4,4,4,12,1, VIP / Champions,"Programme VIP, offres exclusives, service premium, early access."
2018,Derek Zuniga,67,Male,San Antonio,1,758,4,766.4100000000001,191.6,1,1,1,3,0, Perdus,"Email win-back, enquête satisfaction, dernière chance."
2019,Lisa Jackson,62,Female,New York,0,10,16,3900.89,243.81,5,3,3,11,1, Occasionnels,"Nurturing, contenus, promotions saisonnières."
2020,Carla Gray,25,Female,Chicago,1,741,5,616.82,123.36,1,1,1,3,0, Perdus,"Email win-back, enquête satisfaction, dernière chance."
2021,Margaret Hawkins DDS,53,Female,San Diego,1,217,14,3063.71,218.84,3,3,2,8,0, Occasionnels,"Nurturing, contenus, promotions saisonnières."
2022,Patty Perez,53,Female,Chicago,0,8,21,10914.07,519.72,5,4,5,14,2, VIP / Champions,"Programme VIP, offres exclusives, service premium, early access."
2023,Ethan Adams,66,Male,Austin,0,11,23,7636.950000000001,332.04,5,4,4,13,1, VIP / Champions,"Programme VIP, offres exclusives, service premium, early access."
2024,Tommy Walter,51,Female,Austin,1,409,10,2222.16,222.22,2,2,2,6,0, Perdus,"Email win-back, enquête satisfaction, dernière chance."
2025,Matthew Foster,22,Female,Houston,0,29,21,9581.43,456.26,4,4,5,13,1, VIP / Champions,"Programme VIP, offres exclusives, service premium, early access."
